"State","Year","Beach Id","Beach Name","County","No. of beach actions","No. ofDays Under Action","No. of actions lessthan 1 day duration","No. of actions of 1 day duration","No. of actions of 2 day duration","No. of actions of 3 - 7 day duration","No. of actions of 8 - 30 day duration","No. of actions greater than 30 day duration"
"VA","2007","VA800662","ASSATEAGUE ISLAND NATIONAL SEASHORE","ACCOMACK","1","3","0","0","0","1","0","0"
"VA","2020","VA153278","GUARD SHORE","ACCOMACK","2","2","0","2","0","0","0","0"
"VA","2018","VA153278","GUARD SHORE","ACCOMACK","4","10","0","3","0","1","0","0"
"VA","2017","VA153278","GUARD SHORE","ACCOMACK","1","1","0","1","0","0","0","0"
"VA","2007","VA153278","GUARD SHORE","ACCOMACK","1","3","0","0","0","1","0","0"
"VA","2005","VA153278","GUARD SHORE","ACCOMACK","2","9","0","1","0","0","1","0"
"PR","2019","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","3","43","0","0","0","0","3","0"
"PR","2018","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","4","33","0","1","0","2","1","0"
"PR","2017","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","4","28","0","0","0","2","2","0"
"PR","2016","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","7","60","0","0","0","4","3","0"
"PR","2015","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","8","68","0","0","0","6","2","0"
"PR","2014","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","1","8","0","0","0","0","1","0"
"PR","2011","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","3","29","0","0","0","1","2","0"
"PR","2010","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","1","57","0","0","0","0","0","1"
"PR","2008","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","2","14","0","0","0","2","0","0"
"PR","2007","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","2","19","0","0","0","1","1","0"
"PR","2019","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","2","20","0","0","0","1","1","0"
"PR","2018","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","3","35","0","0","0","1","2","0"
"PR","2017","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","4","45","0","1","0","1","2","0"
"PR","2016","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","5","72","0","0","0","2","2","1"
"PR","2015","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","5","47","0","0","0","3","2","0"
"PR","2014","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","1","6","0","0","0","1","0","0"
"PR","2012","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","1","10","0","0","0","0","1","0"
"PR","2011","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","2","12","0","0","0","1","1","0"
"PR","2009","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","3","54","0","0","0","0","2","1"
"PR","2008","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","1","7","0","0","0","1","0","0"
"PR","2007","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","1","7","0","0","0","1","0","0"
"CA","2015","CA580154","Alameda Point","ALAMEDA","1","8","0","0","0","0","1","0"
"CA","2014","CA580154","Alameda Point","ALAMEDA","1","5","0","0","0","1","0","0"
"CA","2013","CA580154","Alameda Point","ALAMEDA","1","6","0","0","0","1","0","0"
"CA","2012","CA580154","Alameda Point","ALAMEDA","3","16","0","1","1","0","1","0"
"CA","2011","CA580154","Alameda Point","ALAMEDA","1","8","0","0","0","0","1","0"
"CA","2019","CA549911","Crown Beach (Alameda Co)","ALAMEDA","14","245","0","3","1","2","5","3"
"CA","2018","CA549911","Crown Beach (Alameda Co)","ALAMEDA","14","228","0","1","3","2","7","1"
"CA","2017","CA549911","Crown Beach (Alameda Co)","ALAMEDA","21","328","0","1","2","10","7","1"
"CA","2016","CA549911","Crown Beach (Alameda Co)","ALAMEDA","31","483","0","5","2","6","14","4"
"CA","2015","CA549911","Crown Beach (Alameda Co)","ALAMEDA","21","195","0","4","6","4","5","2"
"CA","2014","CA549911","Crown Beach (Alameda Co)","ALAMEDA","9","91","0","2","0","4","2","1"
"CA","2013","CA549911","Crown Beach (Alameda Co)","ALAMEDA","8","106","0","1","2","2","1","2"
"CA","2012","CA549911","Crown Beach (Alameda Co)","ALAMEDA","18","102","0","5","3","4","6","0"
"CA","2011","CA549911","Crown Beach (Alameda Co)","ALAMEDA","7","21","0","3","1","2","1","0"
"CA","2019","CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","4","223","0","0","0","0","1","3"
"CA","2018","CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","6","184","0","0","1","1","2","2"
"CA","2017","CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","8","206","0","0","1","1","5","1"
"CA","2016","CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","6","263","0","0","1","0","4","1"
"CA","2015","CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","5","154","0","1","2","0","1","1"
"CA","2014","CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","9","152","0","1","0","3","4","1"
"CA","2013","CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","4","87","0","0","1","1","1","1"
"CA","2012","CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","8","88","0","0","1","1","6","0"
"CA","2011","CA826873","Keller Beach (Contra Costa Co)","ALAMEDA","5","20","0","2","1","1","1","0"
"NY","2002","NY411602","THOMPSON'S LAKE STATE PARK BEACH","ALBANY","1","1","0","1","0","0","0","0"
"MI","2013","MI000293","Black River Public Access","ALCONA","1","1","0","1","0","0","0","0"
"MI","2015","MI908114","Greenbush Township","ALCONA","1","2","0","0","1","0","0","0"
"MI","2009","MI908114","Greenbush Township","ALCONA","1","2","0","0","1","0","0","0"
"MI","2015","MI000348","Harrisville State Park","ALCONA","1","3","0","0","0","1","0","0"
"MI","2014","MI000348","Harrisville State Park","ALCONA","1","1","0","1","0","0","0","0"
"MI","2013","MI000348","Harrisville State Park","ALCONA","1","1","0","1","0","0","0","0"
"MI","2013","MI589651","Negwegon State Park","ALCONA","1","1","0","1","0","0","0","0"
"MI","2013","MI680454","Trask Lake Road Beach","ALCONA","1","1","0","1","0","0","0","0"
"MI","2008","MI001149","Douglas Beach","ALLEGAN","1","3","0","0","0","1","0","0"
"MI","2017","MI001148","Oval Beach","ALLEGAN","1","1","0","1","0","0","0","0"
"MI","2016","MI001148","Oval Beach","ALLEGAN","1","1","0","1","0","0","0","0"
"MI","2012","MI001148","Oval Beach","ALLEGAN","1","2","0","0","1","0","0","0"
"MI","2017","MI001150","Pier Cove Beach","ALLEGAN","1","1","0","1","0","0","0","0"
"MI","2013","MI001150","Pier Cove Beach","ALLEGAN","2","4","0","0","2","0","0","0"
"MI","2010","MI001150","Pier Cove Beach","ALLEGAN","1","6","0","0","0","1","0","0"
"MI","2008","MI001150","Pier Cove Beach","ALLEGAN","1","4","0","0","0","1","0","0"
"MI","2012","MI344038","Saugatuck Dunes State Park Shoreline Beach","ALLEGAN","1","2","0","0","1","0","0","0"
"MI","2016","MI001151","West Side County Park Beach","ALLEGAN","1","1","0","1","0","0","0","0"
"MI","2013","MI001151","West Side County Park Beach","ALLEGAN","1","2","0","0","1","0","0","0"
"MI","2011","MI001151","West Side County Park Beach","ALLEGAN","2","3","0","1","1","0","0","0"
"MI","2010","MI001151","West Side County Park Beach","ALLEGAN","1","5","0","0","0","1","0","0"
"MI","2008","MI001151","West Side County Park Beach","ALLEGAN","1","4","0","0","0","1","0","0"
"MI","2006","MI001151","West Side County Park Beach","ALLEGAN","1","1","0","1","0","0","0","0"
"MD","2015","MD509628","Rocky Gap State Park - Cove Beach","ALLEGANY","1","2","0","0","1","0","0","0"
"MD","2018","MD200470","Rocky Gap State Park - Main Beach","ALLEGANY","2","9","0","0","1","1","0","0"
"MD","2015","MD200470","Rocky Gap State Park - Main Beach","ALLEGANY","1","4","0","0","0","1","0","0"
"MD","2013","MD200470","Rocky Gap State Park - Main Beach","ALLEGANY","1","4","0","0","0","1","0","0"
"MI","2013","MI000282","Blair Street Park","ALPENA","1","3","0","0","0","1","0","0"
"MI","2012","MI000282","Blair Street Park","ALPENA","2","2","0","2","0","0","0","0"
"MI","2011","MI000282","Blair Street Park","ALPENA","2","3","0","1","1","0","0","0"
"MI","2010","MI000282","Blair Street Park","ALPENA","2","3","0","1","1","0","0","0"
"MI","2009","MI000282","Blair Street Park","ALPENA","1","1","0","1","0","0","0","0"
"MI","2011","MI000285","Michekewis Beach","ALPENA","1","1","0","1","0","0","0","0"
"MI","2011","MI000283","Starlite Beach","ALPENA","1","2","0","0","1","0","0","0"
"MI","2010","MI000283","Starlite Beach","ALPENA","1","2","0","0","1","0","0","0"
"MI","2011","MI000286","Thompson Park","ALPENA","1","1","0","1","0","0","0","0"
"PR","2018","PR445257","BALNEARIO DE ANASCO","ANASCO","3","34","0","0","0","1","2","0"
"PR","2017","PR445257","BALNEARIO DE ANASCO","ANASCO","4","35","0","1","0","0","3","0"
"PR","2016","PR445257","BALNEARIO DE ANASCO","ANASCO","9","81","0","0","0","5","4","0"
"PR","2015","PR445257","BALNEARIO DE ANASCO","ANASCO","6","52","0","0","0","4","2","0"
"PR","2011","PR445257","BALNEARIO DE ANASCO","ANASCO","1","8","0","0","0","0","1","0"
"PR","2010","PR445257","BALNEARIO DE ANASCO","ANASCO","2","34","0","0","0","0","2","0"
"AK","2005","AK620995","Pt Woronzof","ANCHORAGE","1","46","0","0","0","0","0","1"
"MD","2005","MD821457","Admiral Heights","ANNE ARUNDEL","1","4","0","0","0","1","0","0"
"MD","2005","MD608140","Annapolis Landing","ANNE ARUNDEL","2","12","0","0","0","1","1","0"
"MD","2015","MD435268","Arden On The Severn at Shore End","ANNE ARUNDEL","1","7","0","0","0","1","0","0"
"MD","2016","MD437635","Arden on the Severn at Oakview","ANNE ARUNDEL","1","6","0","0","0","1","0","0"
