"State Code","Year","Beach ID","Beach Name","County","Swim SeasonStart Date","Swim SeasonEnd Date","ReportingFrequency","ReportingUnits","Activity Sample","Actual StartDate","Actual StopDate","Action Duration","Description Text","Comment Text","Action Reason","Action Source","Action Indicator"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","26-AUG-04","26-AUG-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","-","-","1","PER_YEAR","CONTAM_ADV","13-AUG-04","13-AUG-04","1","-","-","ELEV_BACT","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","08-JUL-13","09-JUL-13","2","-","-","MODEL","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","08-AUG-13","08-AUG-13","1","-","-","MODEL","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","05-AUG-13","05-AUG-13","1","-","-","MODEL","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CLOSURE","06-AUG-13","07-AUG-13","2","-","-","MODEL","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","28-AUG-13","28-AUG-13","1","-","-","MODEL","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","29-JUL-13","29-JUL-13","1","-","-","MODEL","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","10-JUN-14","10-JUN-14","1","-","-","MODEL","UNKNOWN","ECOLI"
"WI","2021","WI012139","Red Arrow Park Beach Manitowoc","MANITOWOC","28-MAY-18","03-SEP-18","1","PER_YEAR","CONTAM_ADV","27-MAY-14","29-MAY-14","3","-","-","MODEL","UNKNOWN","ECOLI"
