"State Code","Year","Beach ID","Beach Name","County","Beach Status","Swim Status","Reported","Posted onInternet","Published inNewspaper","Sent toPhone LIst","Announcedon Radio","Posted atthe Beach","Announcedon TV","Provided Resultson Request","Other"
"VA","2011","MD613035","Assateague Virginia","ACCOMACK","Historical","Inactive","null","Yes","-","Yes","-","Yes","-","-","-"
"VA","2009","MD613035","Assateague Virginia","ACCOMACK","Historical","Inactive","null","Yes","-","Yes","-","Yes","-","-","-"
"VA","2005","MD613035","Assateague Virginia","ACCOMACK","Historical","Inactive","null","Yes","-","Yes","-","Yes","-","-","-"
"PR","2014","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","Reporting","No advisory or closure","Y","-","Yes","-","-","-","-","-","-"
"PR","2009","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","Reporting","No advisory or closure","null","Yes","-","-","-","-","-","-","-"
"PR","2008","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","Reporting","No advisory or closure","null","Yes","-","-","-","-","-","-","-"
"PR","2005","PR273514","BALNEARIO PICO DE PIEDRA, AGUADA","AGUADA","Reporting","No advisory or closure","null","Yes","Yes","-","-","-","-","-","-"
"PR","2014","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","Reporting","No advisory or closure","Y","-","Yes","-","-","-","-","-","-"
"PR","2009","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","Reporting","No advisory or closure","null","Yes","-","-","-","-","-","-","-"
"PR","2008","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","Reporting","No advisory or closure","null","Yes","-","-","-","-","-","-","-"
"PR","2005","PR259693","BALNEARIO CRASH BOAT, AGUADILLA","AGUADILLA","Reporting","No advisory or closure","null","Yes","Yes","-","-","-","-","-","-"
"AK","2018","AK723857","Airport Beach (North End)","ALEUTIANS EAST","Reporting","No advisory or closure","null","Yes","-","-","-","-","-","-","-"
"AK","2018","AK711796","Inside Reef","ALEUTIANS EAST","Reporting","No advisory or closure","null","Yes","-","-","-","-","-","-","-"
"AK","2018","AK988981","Nora's Point","ALEUTIANS EAST","Reporting","No advisory or closure","null","Yes","-","-","-","-","-","-","-"
